name,Zip code,numRev,Score,Cleanliness,Comfort,Facilities,Staff,Value for money,Free WiFi,Location,Free Parking,On-site Parking,Fitness Center,Family Rooms,Parking,Airport Shuttle,Air Conditioning,Free WiFi.1,Laundry,Pet Friendly,Outdoor Pool,Facilities for Disabled Guests,Bar,Non-smoking Rooms,Terrace,Swimming Pool,24-Hour Front Desk,Dist
2 Bedroom Celebrity Loft,90017.0,27.0,9.0,8.9,8.9,9.0,9.1,8.9,10.0,9.0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1.0
Downtown L.A. Resort Comfort Life and 4Beds,90015.0,26.0,8.9,8.9,9.0,9.1,9.0,8.4,8.5,9.2,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1.1
Popular Downtown LA Luxury Palazzo Resort Style Suite,90012.0,24.0,8.5,8.5,8.3,8.6,8.7,8.2,10.0,8.7,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0.8
Urban Hollywood Blvd Grammys Suite,90028.0,32.0,8.6,8.4,8.8,8.8,8.5,8.2,10.0,8.7,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,5.6
Courtyard by Marriott Los Angeles L.A. LIVE,90015.0,219.0,8.6,9.0,8.8,8.7,8.8,7.5,8.5,8.8,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,1,0,1.4
Hollywood 6 beds Vip Pool Suite,90028.0,30.0,8.0,8.2,8.1,8.4,7.7,7.4,9.5,8.2,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,5.6
Popular Downtown LA Bellagio Resort Suite,90017.0,34.0,7.9,7.5,7.9,7.7,8.2,7.6,9.2,8.4,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1.2
Urban Downtown LA Chanel Suite,90017.0,33.0,8.7,8.6,8.6,9.0,8.8,8.3,9.7,9.0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0.9
Charming and Lovely apt!,90036.0,20.0,8.8,9.0,8.5,8.4,8.4,8.8,10.0,9.5,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,5.6
"Tilt Hotel Universal Hollywood, an Ascend Hotel Collection Member",90068.0,694.0,7.9,8.0,8.0,7.6,8.2,7.1,8.3,8.4,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,7.5
AKA Beverly Hills,90210.0,26.0,9.3,9.2,9.6,9.1,9.5,8.9,8.8,9.6,0,0,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,8.7
Popular Downtown LA VIP Modern High Rise Suite,90015.0,19.0,8.8,8.7,8.6,8.7,9.0,8.4,8.5,9.4,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1.1
Popular DTLA Designer Suite With Massive Views,90015.0,41.0,8.8,8.4,8.8,9.1,8.8,8.4,8.8,9.3,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1.3
Urban Hollywood Oscars Suite,90028.0,11.0,8.6,8.6,8.9,8.4,9.1,7.7,6.3,8.6,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,5.6
Millennium Biltmore Los Angeles,90071.0,1275.0,8.1,8.3,8.1,8.0,8.2,7.3,7.9,8.5,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0.7
Urban Hollywood Universal Studios Suite,90028.0,29.0,8.5,8.4,8.5,8.7,9.1,7.8,8.7,8.6,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,6.2
Global Luxury Suites at Wilshire,90036.0,12.0,8.5,9.4,9.2,8.3,7.5,7.7,8.1,8.6,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,5.6
"H Hotel Los Angeles, Curio Collection By Hilton",90045.0,690.0,8.9,9.3,9.2,8.8,8.7,8.2,8.6,8.9,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,11.2
Urban DTLA Corporate Executive Suite,90017.0,7.0,8.5,8.9,8.6,8.6,8.6,7.9,8.6,5.0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,1.1
Popular Downtown LA Parlor Resort Style Suite,90012.0,15.0,7.9,7.7,8.5,7.9,7.9,7.5,3.8,7.8,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0.8
Venice Style Studio Venice Beach,90292.0,14.0,8.3,8.6,8.0,8.2,8.5,7.0,9.3,7.0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,13.0
Downtown LA Clean and Cozy Suite,90017.0,5.0,8.7,9.0,9.5,9.5,6.5,8.0,10.0,3.0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1.1
JW Marriott Los Angeles L.A. LIVE,90015.0,638.0,8.8,9.1,9.0,8.8,8.8,7.8,8.1,9.1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,1.5
Hollywood Blvd Exclusive Apartment,90028.0,13.0,8.4,8.9,9.1,8.5,6.9,7.5,8.8,9.4,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,6.2
Urban Downtown LA Modern Suite,90017.0,8.0,9.1,9.1,9.4,9.4,8.8,8.5,9.4,7.0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1.0
Glendon Apartments,90024.0,154.0,8.1,7.9,8.2,7.9,7.9,7.4,9.4,9.0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,11.2
"SLS Hotel, a Luxury Collection Hotel, Beverly Hills",90048.0,686.0,8.2,8.5,8.3,8.1,8.5,7.1,6.3,8.5,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,7.5
Beverly Hills Marriott,90035.0,385.0,7.9,8.4,8.2,7.8,8.1,6.9,7.4,8.1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,8.7
Los Comfy Apartment,90017.0,12.0,9.1,9.4,9.2,9.0,8.8,9.0,9.4,8.0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1.1
LA Luxury Suite at The Grove | 2BR&2BT | Pool | Free Parking,90036.0,9.0,8.6,8.6,8.3,8.6,8.6,8.3,8.9,5.0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,5.6
Downtown LA Luxe Staples Center Suite,90015.0,16.0,8.1,8.3,7.8,8.0,7.5,8.0,10.0,8.9,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1.2
"WeHo Palace, 2 Bedroom 2 Full Bath",90046.0,23.0,8.1,8.3,8.1,7.8,7.7,8.1,10.0,8.8,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,6.8
Chic 2 Bedroom/2 Bathroom Suite at the Beach,90292.0,15.0,7.3,6.8,8.2,7.5,8.0,6.7,6.8,2.0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,12.4
Oceana Beach Club Hotel,90403.0,395.0,8.2,8.7,8.4,8.0,8.4,6.8,8.6,8.7,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,14.9
Popular Hollywood and The Grove Luxury Pavilion Resort Style Suite,90036.0,24.0,7.6,7.3,7.6,7.8,6.8,7.2,9.2,8.7,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,6.2
Urban Dtla Paradise Suite,90017.0,7.0,8.6,9.7,8.6,8.6,9.3,7.5,7.9,3.0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1.1
"Prime West Hollywood, Gorgeous & Renovated 2 Bed 2 Bath",90046.0,13.0,7.9,7.9,8.1,7.7,8.1,7.7,10.0,8.1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6.8
Live like a Hollywood Celebrity,90068.0,21.0,7.6,8.1,7.0,7.0,7.9,7.3,8.3,9.0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,5.6
Living The LA Dream 2 bed 2 bath,90015.0,13.0,8.6,8.9,8.7,8.5,8.4,7.9,9.1,8.0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1.1
The Westin Bonaventure Hotel & Suites,90071.0,715.0,8.3,8.7,8.5,8.3,8.5,7.5,8.7,8.5,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,1,0,0.8
Executive Lifestyle Apartment,90017.0,111.0,8.7,8.5,8.9,8.9,8.7,8.7,8.1,8.6,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0.9
Kimpton Hotel Wilshire,90048.0,300.0,8.1,8.4,8.4,7.8,8.5,7.1,6.4,8.0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,6.8
Downtown LA Modern Staples Center Suite,90015.0,16.0,8.4,8.9,8.3,8.0,8.0,8.1,8.8,8.9,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1.3
"Channel Road Inn, A Four Sisters Inn",90402.0,111.0,9.2,9.6,9.4,9.3,9.6,8.2,8.7,9.1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,15.5
Venice Beach Vacation Condos,90291.0,252.0,8.3,8.6,8.4,8.3,8.0,7.7,8.7,8.8,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,13.7
American Hotel,90013.0,1449.0,8.1,8.5,8.0,7.7,8.7,8.0,8.6,8.0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0.7
Hilton Garden Inn Los Angeles / Hollywood,90068.0,384.0,7.9,8.2,7.8,7.7,8.2,7.0,7.7,8.6,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,1,0,6.2
Urban DTLA Two Level Staples Center Loft,90015.0,10.0,9.2,9.5,9.3,9.3,9.3,8.8,9.0,7.0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1.5
"Santa Monica Duplex, 3 Bed 2 Bath",90404.0,12.0,8.0,8.6,8.6,7.3,8.1,7.3,8.3,4.0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,12.4
Popular Downtown LA Venetian Resort Style Suite,90012.0,22.0,7.6,7.7,7.5,7.5,8.2,7.2,10.0,7.6,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0.7
Popular Downtown LA Splendid Suite,90015.0,25.0,8.6,8.8,8.8,8.5,8.4,7.9,8.6,8.9,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1.2
Franklin Tower,90028.0,34.0,8.7,8.5,8.8,8.9,8.5,8.2,9.4,9.1,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,5.6
Downtown LA Serene Penthouse,90012.0,38.0,8.1,7.8,8.5,8.1,7.8,8.0,10.0,8.2,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0.7
W Los Angeles â€“ West Beverly Hills,90024.0,363.0,7.7,8.0,7.9,7.5,7.9,6.5,5.0,8.4,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,11.2
Urban Hollywood Two Level Penthouse,90028.0,20.0,9.2,9.0,9.3,9.0,9.4,8.8,9.8,8.6,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,6.2
Selby Ave Guest House,90064.0,75.0,10.0,10.0,9.9,10.0,9.9,9.9,10.0,9.9,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,9.9
L.A. CITY LIFE HIGHRISE VIEWS - 5 BEDS,90015.0,5.0,8.4,8.5,8.5,8.5,8.5,8.5,8.0,2.0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1.1
Downtown LA Dazzling Apartment,90017.0,6.0,8.2,9.2,8.3,7.5,7.9,7.9,7.5,8.3,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1.2
Urban Hollywood Celebrity Suite,90028.0,18.0,8.5,8.2,8.6,8.8,8.8,8.1,9.2,8.6,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,6.2
Hollywood Historic Hotel,90038.0,1686.0,7.7,7.9,7.5,7.2,8.5,7.4,8.6,7.8,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,4.3
Hilton Los Angeles Airport,90045.0,4004.0,7.7,8.1,7.9,7.6,7.9,7.0,5.6,7.9,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,10.6
Hollywood Hotel - The Hotel of Hollywood Near Universal Studios,90029.0,2206.0,7.8,8.0,7.9,7.7,8.1,7.5,7.9,7.5,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,0,3.7
Renaissance Los Angeles Airport Hotel,90045.0,964.0,7.9,8.3,8.1,7.9,8.2,7.1,6.2,8.1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,10.6
Popular Hollywood Blvd Superstar Suite,90028.0,11.0,7.8,8.2,8.2,8.2,6.6,7.3,8.2,6.0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,6.2
Hollywood Blvd Stars Suite,90028.0,44.0,7.8,7.8,7.6,7.6,7.4,7.3,8.0,9.0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,6.2
The Hotel Hollywood,90028.0,2632.0,8.0,8.2,7.5,7.3,8.9,7.5,7.8,8.5,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,5.6
Popular Hollywood Blvd James Dean Suite,90028.0,15.0,8.1,7.3,8.7,8.3,7.2,7.7,10.0,9.2,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,6.2
The Grove Luxe Apartment,90036.0,10.0,8.1,8.3,8.0,8.0,8.1,7.5,7.5,8.8,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,6.2
Four Points by Sheraton Los Angeles International Airport,90045.0,5880.0,7.6,7.8,7.5,7.3,8.0,6.9,7.6,8.0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,10.6
Popular Hollywood Boulevard Of Stars 2BR/BA Suite,90028.0,30.0,8.1,7.8,8.3,8.2,7.7,7.5,8.9,8.6,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,5.6
Comfort Inn Santa Monica - West Los Angeles,90404.0,610.0,7.8,8.2,7.9,7.6,8.0,7.3,7.9,7.9,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,13.0
Downtown LA Convention Center Elite Apartment,90015.0,14.0,8.7,8.9,8.5,9.1,8.2,8.5,6.7,9.2,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1.7
Modern Apartments in Downtown LA,90017.0,101.0,7.6,7.7,8.0,7.8,7.1,7.0,9.2,8.1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1.1
Artist Home at Venice Beach - One Bedroom Oasis,90292.0,20.0,7.2,6.8,6.6,6.4,8.4,6.6,8.5,4.0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,13.0
Beverly Hills Celebrity Home,90035.0,168.0,8.9,9.1,8.9,9.0,8.8,8.6,9.3,9.3,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,8.7
Mondrian Los Angeles in West Hollywood,90069.0,732.0,7.7,8.0,7.9,7.5,7.7,6.6,5.7,8.5,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,1,0,8.1
DoubleTree by Hilton Hotel Los Angeles - Westside,90230.0,892.0,7.7,8.0,7.9,7.6,8.1,6.9,7.5,7.5,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,1,0,9.9
DOWNTOWN L.A. SKY VIEW PENTHOUSE & 4 BEDS,90017.0,12.0,8.2,7.7,8.6,8.3,7.3,8.1,9.4,5.0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1.0
Hotel MDR Marina del Rey- a DoubleTree by Hilton,90292.0,679.0,7.8,8.1,8.0,7.7,8.2,6.7,7.8,7.9,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,11.8
Super Lovely Studio Apartment,90020.0,5.0,9.0,8.0,9.5,9.0,9.5,9.0,9.0,4.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3.7
Angel City Spacious Apartment,90017.0,15.0,8.3,8.8,8.5,8.2,8.2,7.8,7.5,8.2,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1.1
Hollywood 7 Bed Penthouse Superstar,90028.0,38.0,7.7,7.4,7.6,7.4,8.1,7.1,8.8,8.7,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,5.6
Doubletree by Hilton Los Angeles Downtown,90012.0,693.0,7.8,8.3,8.1,7.7,8.1,6.9,6.1,7.8,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,650.0
Hollywood Walk of Fame 5beds Studio,90028.0,13.0,8.0,8.1,8.1,7.7,8.3,7.5,7.5,8.6,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,6.2
Downtown LA 5Beds Spectacular Pool,90017.0,8.0,7.5,8.5,8.5,7.5,6.9,6.3,7.5,7.2,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,1.3
Studio City Warm Apartment,91604.0,10.0,7.6,7.8,7.0,6.8,8.0,6.5,9.3,4.0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,9.3
Chic and Charming 1 bdr,90046.0,70.0,7.9,7.7,7.8,7.7,7.9,7.5,8.6,8.9,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,6.8
Hollywood House Melrose Place,90038.0,9.0,7.5,7.0,7.2,7.2,8.3,7.0,8.1,3.0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,5.6
Downtown Los Angeles Luxury 3-bedroom Pool Suite,90017.0,10.0,8.1,8.3,8.5,8.0,7.3,7.8,8.5,5.0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1.3
"The Standard, Hollywood",90069.0,563.0,7.8,7.9,7.7,7.4,8.2,6.9,7.8,8.7,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,1,0,7.5
DOWNTOWN L.A. 36 Story Breath Taking View Penthouse,90015.0,15.0,7.8,7.7,7.7,8.0,7.8,7.5,6.3,7.8,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1.1
Urban Downtown LA Sapphire Suite,90017.0,5.0,8.6,9.5,8.5,8.5,8.5,8.0,8.5,3.0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1.2
Holiday Inn Express Los Angeles LAX Airport,90045.0,657.0,7.9,8.1,8.0,7.5,8.2,7.3,8.2,8.0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,9.9
Hollywood Hills Suites,90028.0,50.0,7.9,7.6,7.8,7.5,7.9,7.4,7.5,9.0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,5.6
EXQUISITE MARINA 2BDR SUITE WITH BALCONY & RELAXING VIEWS,90094.0,9.0,7.9,7.8,7.5,7.8,7.8,7.5,7.5,9.2,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,11.8
Wingate by Wyndham Los Angeles Airport,90304.0,4050.0,7.6,7.9,7.9,7.4,7.7,7.3,7.7,7.5,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,9.9
"Hampton Inn & Suites Los Angeles/Hollywood, CA",90038.0,85.0,8.6,9.2,8.8,8.8,8.9,7.8,8.5,7.8,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,5.0
Montrose West Hollywood,90069.0,458.0,7.7,7.8,8.0,7.6,7.8,6.8,5.8,8.4,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,8.1
Los Angeles 5 Beds Convention Pool,90015.0,24.0,7.9,8.2,8.5,7.7,7.5,7.2,10.0,8.5,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1.5
Top Floor Penthouse Living Like A Rockstar,90017.0,23.0,8.1,8.1,8.1,8.3,8.2,7.5,7.8,8.3,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,1.0
Sheraton Universal,91608.0,1017.0,7.5,7.5,7.5,7.1,8.1,6.2,5.8,8.5,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,1,0,8.7
Mid City 3 Bedroom 3 Bathroom 5 Queen Beds,90019.0,11.0,8.3,8.2,8.2,8.6,8.9,8.2,10.0,7.5,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,3.7
The Moment Hotel,90046.0,271.0,8.0,8.3,8.0,7.8,8.4,7.0,8.1,8.3,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,6.8
Urban Downtown LA Luxury Resort Suite,90017.0,16.0,8.7,8.5,8.6,8.8,9.2,8.0,9.2,8.9,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1.2
Jolly Roger Hotel,90292.0,1043.0,7.6,7.6,7.3,7.3,8.5,6.9,8.2,8.0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,12.4
Urban Downtown LA Designer City Sky Suite,90015.0,15.0,8.0,7.5,7.5,7.8,8.0,7.9,9.1,9.0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,1.3
Downtown LA VIP Resort Apartment,90017.0,9.0,7.4,7.8,7.0,7.0,7.5,7.2,2.5,8.1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1.2
Strathmore Apartments,90024.0,50.0,7.4,7.5,7.4,7.3,6.8,7.2,8.0,8.2,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,11.8
Executive Celebrity Suites,90017.0,41.0,8.5,8.4,8.7,8.8,8.5,8.2,9.7,8.4,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1.2
Popular Downtown Los Angeles Luxurious Resort Suite,90012.0,26.0,7.9,7.5,8.3,8.3,8.0,7.5,8.3,7.9,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0.7
Hollywood Hot Spot Condo,90028.0,12.0,7.5,7.5,7.1,7.1,7.9,6.9,10.0,8.6,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,6.2
Amazing 2bed/2 bath near the Grove,90036.0,36.0,8.3,7.5,8.2,8.3,9.0,7.7,7.5,9.3,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,5.6
Popular DTLA Designer Suite,90015.0,13.0,8.0,8.5,8.1,7.9,8.1,7.3,8.3,3.0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1.3
