name,Zip code,numRev,Score,Cleanliness,Comfort,Facilities,Staff,Value for money,Free WiFi,Location,good Fitness Center,Daily Housekeeping,Heating,Fitness Center,Room Service,Family Rooms,Parking,Airport Shuttle,Laundry,Free WiFi.1,Air Conditioning,Pet Friendly,Elevator,Facilities for Disabled Guests,Bar,Non-smoking Rooms,Restaurant,24-Hour Front Desk,WiFi,Dist
Hotel Pennsylvania,10001.0,35615.0,5.6,5.0,4.9,4.7,5.6,5.2,6.3,8.3,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,1.4
Radisson Martinique on Broadway,10001.0,7925.0,8.2,8.5,8.1,7.9,8.1,7.5,8.5,9.2,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,1.4
Residence Inn by Marriott New York Manhattan/Times Square,10018.0,3537.0,8.3,8.2,8.2,8.0,8.4,7.5,8.5,9.4,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,1.1
MADE Hotel,10001.0,1192.0,9.1,9.4,9.0,8.9,9.4,8.5,9.6,9.4,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1,1,0,0,1.6
LUMA Hotel - Times Square,10018.0,2212.0,9.2,9.5,9.3,9.0,9.3,8.3,9.1,9.7,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,1.0
"The Standard, High Line New York",10014.0,2822.0,8.3,8.7,8.3,8.2,8.3,7.2,8.4,9.2,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,0,0,2.3
citizenM New York Times Square,10019.0,5323.0,9.2,9.5,9.1,9.2,9.4,8.3,9.6,9.7,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,2600.0
Gansevoort Meatpacking,10014.0,1863.0,8.3,8.6,8.3,8.1,8.4,7.3,8.9,9.1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,2.3
Courtyard by Marriott New York Manhattan/Central Park,10019.0,5459.0,8.0,8.2,8.1,7.7,7.9,7.2,8.4,9.1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,1500.0
"The Langham, New York, Fifth Avenue",10018.0,1143.0,9.2,9.5,9.4,9.0,9.5,8.3,9.3,9.5,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,1.2
Hyatt Centric Times Square New York,10036.0,4283.0,8.7,9.1,9.0,8.6,8.5,7.8,9.1,9.5,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0.7
The Assemblage John Street,10038.0,66.0,9.4,9.7,9.7,9.2,9.5,8.8,10.0,9.2,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,3.7
Splendid Apartment by Times SQ,10036.0,414.0,8.0,7.8,8.3,7.9,7.9,7.7,9.1,8.7,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1.0
Warwick New York,10019.0,4010.0,8.4,8.6,8.5,8.0,8.3,7.5,8.2,9.4,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,2450.0
Radio City Apartments,10019.0,4036.0,8.5,8.6,8.2,8.1,8.5,8.3,9.0,9.6,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,3100.0
Crowne Plaza Times Square,10019.0,7333.0,8.2,8.3,8.3,7.9,8.1,7.2,8.4,9.3,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,2950.0
Executive Hotel Le Soleil New York,10018.0,2787.0,8.5,8.8,8.5,8.2,8.7,7.8,8.8,9.3,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1.2
Hyatt Place New York/Midtown-South,10018.0,3458.0,8.6,8.7,8.5,8.2,8.8,7.9,8.8,9.3,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1.2
InterContinental New York Times Square,10036.0,3175.0,8.0,8.2,8.3,7.8,7.7,7.1,7.6,8.9,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,0,0,0.8
AKA Central Park,10019.0,866.0,8.5,8.3,8.6,8.2,8.7,7.6,9.3,9.5,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,2300.0
Hyatt House New York/Chelsea,10001.0,1738.0,8.8,8.9,8.9,8.7,8.8,8.2,9.0,9.3,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,1.6
Archer Hotel New York,10018.0,1188.0,8.9,9.3,8.7,8.7,9.3,8.0,9.2,9.5,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1,1,0,0,1.1
"The Beekman, a Thompson Hotel",10038.0,1937.0,9.3,9.6,9.4,9.3,9.5,8.7,9.4,9.0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,3.7
New York Marriott Marquis,10036.0,3392.0,8.2,8.3,8.3,8.0,8.2,7.0,4.6,9.4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0.7
Cambria Hotel New York - Times Square,10036.0,3904.0,8.8,9.1,8.7,8.5,8.6,8.2,9.1,9.5,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0.8
Broadway at Times Square Hotel,10036.0,3163.0,8.4,8.3,8.1,7.9,8.7,7.9,8.6,9.5,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0.7
MOXY NYC Times Square,10018.0,2719.0,8.4,8.8,8.0,8.2,8.6,7.7,8.6,9.3,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,0,0,1.2
Nolitan Hotel SoHo - New York,10012.0,881.0,8.7,9.1,8.6,8.3,9.1,7.8,8.4,9.3,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,1,0,0,3.1
AKA Times Square,10036.0,802.0,8.8,8.7,8.9,8.5,9.2,7.9,9.0,9.5,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0.8
Gramercy Townhouse,10003.0,11.0,9.5,9.6,9.8,9.6,9.8,8.6,9.6,9.0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,2.2
Blakely New York Hotel,10019.0,2394.0,8.6,8.8,8.5,8.0,8.8,8.0,8.9,9.4,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,1800.0
Ace Hotel New York,10001.0,1619.0,8.3,8.6,8.1,8.2,8.6,7.5,9.0,9.1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,1.6
"LIFE Hotel, NoMad",10001.0,1164.0,8.2,8.6,8.0,7.6,8.2,7.6,8.4,9.0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,0,0,1.5
"Club Quarters Hotel, Opposite Rockefeller Center",10019.0,1959.0,8.1,8.0,7.8,7.6,8.2,7.4,8.9,9.5,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0.6
Lombardy Hotel,10022.0,972.0,8.5,8.7,8.6,8.2,8.4,7.9,8.8,9.2,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0.8
Arlo SoHo,10013.0,3957.0,8.7,9.3,8.4,8.7,9.0,8.0,9.2,8.8,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,3.1
TRYP by Wyndham Times Square South,10001.0,2792.0,8.4,8.5,8.4,8.1,8.4,8.0,8.7,8.9,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,1.2
Residence Inn by Marriott New York Manhattan/Central Park,10019.0,1930.0,8.3,8.2,8.5,8.2,8.1,7.5,8.7,9.3,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,1500.0
Holiday Inn Express - Times Square South,10018.0,2902.0,8.3,8.4,8.1,7.9,8.4,7.7,8.1,9.2,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1.2
Millennium Hilton New York One UN Plaza,10017.0,3559.0,8.4,8.8,8.8,8.2,8.2,7.8,5.7,8.6,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1.4
Fairfield Inn & Suites By Marriott New York Manhattan/Times Square,10018.0,4695.0,8.3,8.6,8.2,8.0,8.5,7.7,9.1,8.9,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,1.0
NoMo SoHo,10013.0,1882.0,8.3,8.8,8.4,8.0,7.9,7.4,8.6,9.2,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,1,0,0,3.1
Hilton Garden Inn Central Park South,10019.0,3272.0,8.3,8.6,8.2,7.9,8.3,7.5,8.3,9.2,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,1500.0
The Evelyn,10016.0,2651.0,8.3,8.6,8.1,7.5,8.5,7.8,8.2,9.2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1.7
RIU Plaza New York Times Square,10036.0,5602.0,8.7,9.0,8.7,8.5,8.6,8.0,8.0,9.5,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0.7
1 Hotel Central Park,10019.0,1537.0,9.0,9.4,9.0,8.9,9.3,7.9,9.4,9.6,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,1950.0
Hotel 50 Bowery,10013.0,1692.0,9.1,9.6,9.4,9.0,9.5,8.7,9.4,8.6,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,3.1
Hotel Boutique at Grand Central,10017.0,2452.0,8.6,9.0,8.5,8.4,8.5,8.1,9.1,9.4,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1.1
Chambers Hotel,10019.0,1009.0,8.9,9.1,8.8,8.4,9.3,8.0,9.3,9.6,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,2600.0
The New York EDITION,10010.0,995.0,9.0,9.4,9.1,8.8,9.1,7.9,9.5,9.5,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,1.9
Westin New York at Times Square,10036.0,1314.0,8.0,8.2,8.3,7.9,7.8,7.1,6.5,9.0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0.8
HGU New York,10016.0,1620.0,8.6,9.0,8.5,8.2,8.8,7.9,9.2,9.1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1,1,0,0,1.5
Arlo NoMad,10016.0,3221.0,8.8,9.3,8.6,8.6,9.1,8.1,9.2,9.4,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,1.5
EVEN Hotel New York - Midtown East 44th,10017.0,1664.0,8.7,9.0,8.7,8.4,8.7,8.1,8.9,9.0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,1.2
Courtyard by Marriott Times Square West,10018.0,2384.0,8.7,9.1,8.7,8.4,8.9,7.9,8.6,9.0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,1.1
World Center Hotel,10006.0,2762.0,8.6,8.8,8.6,8.5,8.6,8.1,9.0,9.2,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,4.3
Midtown West 2 Bedroom Apartment,10018.0,41.0,8.5,8.8,8.8,8.6,8.4,7.9,8.9,8.7,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1.2
Trump International New York,10023.0,775.0,8.8,9.2,9.0,8.6,8.8,7.8,9.1,9.5,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,500.0
Novotel New York Times Square,10019.0,3536.0,8.5,8.8,8.7,8.3,8.2,7.6,8.4,9.4,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,2150.0
Sixty LES,10002.0,850.0,8.2,8.4,8.2,8.0,8.6,7.2,7.7,8.7,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,3.1
The Standard - East Village,10003.0,702.0,8.8,9.1,8.8,8.5,8.9,7.9,8.8,9.3,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,2.8
Andaz 5th Avenue-a concept by Hyatt,10017.0,684.0,8.7,8.9,8.9,8.5,8.6,7.8,9.3,9.4,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,1.1
The Dominick Hotel,10013.0,1147.0,8.5,8.8,8.8,8.4,8.5,7.6,8.7,8.9,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,3.1
Doubletree By Hilton New York Times Square West,10018.0,3376.0,8.0,8.3,7.8,7.7,8.3,7.5,8.0,8.6,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,1.0
Candlewood Suites NYC -Times Square,10018.0,2338.0,8.1,7.7,8.1,7.9,8.2,7.6,8.6,8.9,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1.0
Hotel Hayden New York,10001.0,825.0,8.1,7.9,8.0,7.7,8.5,7.5,8.2,8.9,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,1.6
SIXTY SoHo,10012.0,854.0,8.6,9.1,8.7,8.4,8.6,7.6,8.2,9.4,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,3.1
Hotel Lucerne,10024.0,2033.0,8.5,8.9,8.4,8.1,8.5,7.8,8.8,9.1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1.1
The Time New York,10019.0,2110.0,8.2,8.5,8.0,7.8,8.5,7.3,8.9,9.2,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,2800.0
Best Western Premier Herald Square,10018.0,1331.0,8.5,8.9,8.2,8.2,8.7,7.9,8.8,9.4,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,1.2
Fairfield Inn by Marriott New York Manhattan/Financial District,10038.0,2925.0,8.2,8.7,8.0,7.9,8.9,7.6,8.8,8.3,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,4.3
Club Quarters Hotel Midtown - Times Square,10036.0,1193.0,8.1,8.1,7.7,7.7,8.4,7.4,9.0,9.3,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0.8
Hyatt Herald Square New York / 5th Avenue,10001.0,1635.0,8.2,8.5,8.0,7.8,8.5,7.5,8.2,8.9,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,1.5
Sohotel,10013.0,2129.0,8.3,8.6,7.9,7.7,8.8,7.7,8.3,8.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,3.1
The Jewel Facing Rockefeller Center,10019.0,1123.0,8.6,8.8,8.3,8.3,8.9,8.0,9.3,9.6,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0.6
U Hotel Fifth Avenue,10018.0,2030.0,8.1,8.5,7.4,7.2,8.5,7.5,7.5,9.4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1.3
Hotel Wolcott,10001.0,1349.0,7.9,8.1,7.7,7.1,7.9,7.5,3.1,9.0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1.5
AKA Wall Street,10038.0,746.0,9.3,9.4,9.5,9.2,9.5,8.7,9.4,9.3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,4.3
The Peninsula New York,10019.0,220.0,8.7,9.0,8.8,8.7,8.7,7.4,8.7,9.5,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,3100.0
Club Quarters Hotel Wall Street,10005.0,2466.0,8.2,8.4,8.0,7.9,8.5,7.6,9.0,8.8,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,4.3
Hotel Indigo Lower East Side,10002.0,1028.0,8.7,9.1,8.9,8.6,8.6,7.7,8.7,8.9,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,3.1
The Allen Hotel,10002.0,556.0,8.6,9.0,8.4,8.3,8.9,8.2,9.1,8.6,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,3.1
"Club Quarters Hotel, Grand Central",10017.0,1180.0,8.7,8.9,8.6,8.5,8.7,8.1,9.0,9.4,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1.1
Courtyard New York Manhattan/Times Square,10018.0,1300.0,8.4,8.5,8.4,8.0,8.5,7.6,8.7,9.4,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1.0
The NoMad Hotel,10001.0,748.0,9.0,9.4,9.2,9.0,9.1,8.2,9.0,9.3,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,0,0,1.6
Great Renovated Apartments Best Location Manhattan,10010.0,30.0,8.3,7.6,8.1,7.8,8.5,8.4,7.5,9.6,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,2.0
Freehand New York,10010.0,545.0,8.8,9.0,8.6,8.6,8.9,8.0,8.8,9.3,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,2.0
Midtown Lodging,10022.0,639.0,8.5,8.3,8.1,8.2,9.0,8.1,9.3,9.0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1.1
Four Points by Sheraton Manhattan Midtown West,10001.0,957.0,8.4,9.0,8.5,8.3,8.5,7.9,8.7,8.3,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1.3
City Club Hotel,10036.0,1213.0,8.3,8.4,8.0,7.7,8.7,7.6,8.5,9.4,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,0,0,0.9
Four Points by Sheraton Midtown - Times Square,10018.0,3306.0,8.4,8.6,8.2,7.9,8.7,7.8,9.0,8.9,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1,1,0,0,1.0
Modern Apartments next to Times Square,10018.0,56.0,8.2,8.0,7.8,7.5,8.3,7.8,10.0,9.7,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1.1
"Hotel Shocard, New York",10036.0,1856.0,8.3,8.6,7.7,7.8,8.9,7.7,9.0,9.4,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,1,0,0,0.9
Carvi Hotel New York,10022.0,980.0,8.4,8.7,8.2,7.8,8.8,7.9,8.9,9.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0.9
Cassa Hotel 45th Street New York,10036.0,1562.0,8.7,9.0,8.6,8.1,8.9,7.9,8.6,9.6,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,0,0,0.8
"The New Yorker, A Wyndham Hotel",10018.0,7762.0,7.8,8.0,7.6,7.3,8.2,7.0,8.0,9.0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,1.2
Dream Midtown,10019.0,2011.0,8.1,8.5,7.8,7.6,8.2,7.2,9.2,9.0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,1500.0
"Park South, a Joie de Vivre Hotel",10016.0,1071.0,8.6,8.9,8.5,8.4,9.1,7.9,9.1,9.0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,1.8
"The Bernic Hotel New York City,Tapestry Collection by Hilton",10017.0,1792.0,8.7,9.0,8.6,8.2,9.1,8.0,8.1,9.0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1,1,0,0,1.1
Four Seasons Hotel New York Downtown,10007.0,249.0,9.4,9.8,9.8,9.6,9.6,8.6,9.0,9.2,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,3.7
Hampton Inn Manhattan Grand Central,10017.0,2843.0,8.7,8.9,8.4,8.3,9.1,8.2,8.4,9.2,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1.3
New York Hilton Midtown,10019.0,4542.0,7.9,8.1,7.9,7.6,7.8,7.0,7.0,9.1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,2450.0
Distrikt Hotel New York City,10018.0,755.0,8.5,8.8,8.5,8.1,8.7,7.9,8.1,8.9,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,0,0,1.0
Fairfield Inn & Suites by Marriott New York Downtown Manhattan/World Trade Center Area,10006.0,627.0,8.8,8.9,8.7,8.5,9.1,8.4,8.9,9.2,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,4.3
The Mercer,10012.0,270.0,8.9,9.4,9.0,8.7,9.1,7.8,9.1,9.6,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1,1,0,0,3.1
Heart of Midtown,10022.0,22.0,8.7,8.8,8.2,8.5,9.1,8.4,8.8,9.4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1.0
Sofitel New York,10036.0,1357.0,8.6,8.8,8.7,8.3,8.7,7.5,8.0,9.3,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0.9
Times Square HighLine Two Bedroom,10036.0,15.0,9.2,8.8,8.8,8.7,10.0,9.1,9.8,8.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0.9
Lotte New York Palace,10022.0,1787.0,8.8,9.0,9.0,8.5,8.6,7.9,4.2,9.6,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0.8
Sanctuary NYC Retreats,10002.0,399.0,8.8,8.8,8.9,8.7,9.0,8.6,8.4,8.6,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,3.1
Homewood Suites Midtown Manhattan Times Square South,10018.0,1943.0,8.9,9.0,8.9,8.8,9.0,8.3,8.6,9.2,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1.1
The Roger,10016.0,1562.0,8.4,8.7,8.4,8.0,8.6,7.5,8.6,9.0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1.6
Fairfield Inn & Suites by Marriott New York Manhattan/Chelsea,10001.0,1084.0,8.1,8.2,7.7,7.8,8.7,7.5,8.2,8.9,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1.6
Ameritania at Times Square,10019.0,2578.0,8.2,8.3,8.0,7.6,8.4,7.7,4.9,9.3,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1500.0
Four Points by Sheraton Manhattan Chelsea,10001.0,1431.0,8.1,8.3,7.9,7.7,8.7,7.6,8.4,8.7,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,1.7
Walker Hotel Greenwich Village,10011.0,1023.0,8.4,8.7,8.1,8.0,8.8,7.4,8.8,9.3,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,2.3
John Street Apartment,10038.0,7.0,8.4,8.2,8.9,8.6,7.9,7.9,8.9,2.0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3.7
Element Times Square West,10018.0,8114.0,8.0,7.8,7.9,7.6,8.1,7.5,8.7,8.9,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1.0
The Roxy Hotel Tribeca,10013.0,1382.0,8.9,9.1,9.0,8.9,9.0,8.2,8.7,9.3,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,3.1
Hotel Wales,10128.0,750.0,8.1,8.4,7.9,7.6,8.4,7.4,8.6,8.8,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1.8
Four Points by Sheraton New York Downtown,10038.0,3952.0,8.1,8.4,8.1,7.8,8.2,7.5,8.4,8.3,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,4.3
